request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
G|LP0001|Consensus|stage_a|replicate_1,G-ae1f15cae401dfc538664b51cca020efc6b45db8,G,target,LP0001,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,922a9b2ddec71042b276306622bd9570cefd9b796fef99fe948522a7bc8a453e,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1077939037,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0001|Consensus|stage_a|replicate_1,922a9b2ddec71042b276306622bd9570cefd9b796fef99fe948522a7bc8a453e,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0002|Consensus|stage_a|replicate_1,G-cc3dcb4cff3dc553c731bfc8b31fa2c0002834e0,G,target,LP0002,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,571618e8d9fd9b536bd7f9d78c000a96cb53b2706713a159672fd678a9b85d39,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,398023664,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0002|Consensus|stage_a|replicate_1,571618e8d9fd9b536bd7f9d78c000a96cb53b2706713a159672fd678a9b85d39,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0003|Consensus|stage_a|replicate_1,G-954669bb7a50cd58e2d42b2cddcecb544b89a34c,G,target,LP0003,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,5530d0b34ce542e2cbe3c266d5bda4bce36a3b021b3c4e342367681c4d59036e,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,618504401,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0003|Consensus|stage_a|replicate_1,5530d0b34ce542e2cbe3c266d5bda4bce36a3b021b3c4e342367681c4d59036e,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0004|Consensus|stage_a|replicate_1,G-1dfc375115ee6f4188aef322851cdcb0c44954fb,G,target,LP0004,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,29c4a7116943e3c7ea7724388f927e3d680669f83bb7ad353c193a3b7adfd7a7,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1374084579,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0004|Consensus|stage_a|replicate_1,29c4a7116943e3c7ea7724388f927e3d680669f83bb7ad353c193a3b7adfd7a7,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0005|Consensus|stage_a|replicate_1,G-bbdc708aed82aaa3bd6adf07029daa36551ec2cb,G,target,LP0005,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,ecbf2711c3605745c21b6e52f424b63baa806f2cecdda64fb89a29c57cb0910f,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1698401211,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0005|Consensus|stage_a|replicate_1,ecbf2711c3605745c21b6e52f424b63baa806f2cecdda64fb89a29c57cb0910f,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0006|Consensus|stage_a|replicate_1,G-bc98a1b2af07e7847c7ada0228ff804de6c003c4,G,target,LP0006,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,388bb93abb43768ac6a680f5077fd6149c76c2fd7fef772b4ecfc8402a2fb535,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,674835180,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0006|Consensus|stage_a|replicate_1,388bb93abb43768ac6a680f5077fd6149c76c2fd7fef772b4ecfc8402a2fb535,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0007|Consensus|stage_a|replicate_1,G-40f1c72ac113911661998d6caf898c68367baa29,G,target,LP0007,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,c73b8b556935b8ed04b1518b4a59b4083ca1de57421e84dc5e9d01fd9f8327f3,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1123491692,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_human_primary_cause"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0007|Consensus|stage_a|replicate_1,c73b8b556935b8ed04b1518b4a59b4083ca1de57421e84dc5e9d01fd9f8327f3,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0008|Consensus|stage_a|replicate_1,G-b6fb2e728569d82daf2ed9f9fbfa8c41fbe1f4f4,G,target,LP0008,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,0276db51a4c9560caf6dc049ae28ae1385d26e4f2e27a6be6966dde901363cf5,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1935684884,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0008|Consensus|stage_a|replicate_1,0276db51a4c9560caf6dc049ae28ae1385d26e4f2e27a6be6966dde901363cf5,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0009|Consensus|stage_a|replicate_1,G-47527d699044566c8e8e8ff707386cc713a07f67,G,target,LP0009,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,b0a4b0518e24863056ce9962ae4c4277d9b138a99804f6b67ed0da871d960d9f,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,518607168,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_human_primary_cause"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0009|Consensus|stage_a|replicate_1,b0a4b0518e24863056ce9962ae4c4277d9b138a99804f6b67ed0da871d960d9f,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
G|LP0010|Consensus|stage_a|replicate_1,G-21c2bc8ea09aa423597303d9fbc6259812e31f38,G,target,LP0010,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,bc9ea6daf3ed75e902d3f1a2b5ce6d124df42579b49cfda2e634d059282bcd77,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1679826240,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0010|Consensus|stage_a|replicate_1,bc9ea6daf3ed75e902d3f1a2b5ce6d124df42579b49cfda2e634d059282bcd77,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
