request_key,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash,engine_config_hash,custom_id,parsed_output
G|LP0001|control|replicate_1,G,target,LP0001,control,full_questionnaire,1,google/gemma-4-31B-it,bb1155687b4563444cc9ed00fd5539c47b160ade38ce4bf2a883667e81fdf88c,dfb71e28c6622a7f57f8e1929f3fb975a9b78ecf42bded892bbd90aea7cce06d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,746977835,success,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""funding_5_raw"", ""Q015"": ""newsletter_signup"", ""Q016"": ""donation_ams"", ""Q017"": ""inst_trust_epa"", ""Q018"": ""inst_trust_nasa"", ""Q019"": ""inst_trust_noaa"", ""Q020"": ""inst_trust_universities"", ""Q021"": ""inst_trust_federal_gov"", ""Q022"": ""distrust_post"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_specific_1"", ""Q039"": ""policy_specific_2"", ""Q040"": ""policy_specific_3"", ""Q041"": ""policy_specific_4"", ""Q042"": ""policy_specific_5"", ""Q043"": ""policy_specific_6"", ""Q044"": ""policy_specific_7""}",standard,,G|LP0001|control|replicate_1,,,,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,google-gemma-4-31B-it-137605e39b392e97ef7f820c5a9469acbb9d9931,"{""behavior_donate"": 10, ""behavior_fly"": 30, ""behavior_meat"": 30, ""behavior_solar"": 20, ""behavior_talk"": 50, ""behavior_transport"": 40, ""belief_post"": 80, ""concern_1"": 60, ""concern_2"": 70, ""concern_3"": 40, ""distrust_post"": 40, ""donation_ams"": 0, ""funding_5_raw"": 50, ""inst_trust_epa"": 40, ""inst_trust_federal_gov"": 30, ""inst_trust_nasa"": 80, ""inst_trust_noaa"": 70, ""inst_trust_universities"": 60, ""newsletter_signup"": 0, ""policy_general"": 60, ""policy_role_1"": 80, ""policy_role_2"": 40, ""policy_role_3"": 90, ""policy_role_4"": 60, ""policy_specific_1"": 30, ""policy_specific_2"": 70, ""policy_specific_3"": 80, ""policy_specific_4"": 90, ""policy_specific_5"": 20, ""policy_specific_6"": 70, ""policy_specific_7"": 90, ""trust_benevolence_1"": 70, ""trust_benevolence_2"": 70, ""trust_benevolence_3"": 50, ""trust_competence_1"": 75, ""trust_competence_2"": 80, ""trust_competence_3"": 75, ""trust_integrity_1"": 60, ""trust_integrity_2"": 60, ""trust_integrity_3"": 60, ""trust_openness_1"": 50, ""trust_openness_2"": 50, ""trust_openness_3"": 40, ""trust_post"": 60}"
G|LP0001|High public trust|replicate_1,G,target,LP0001,High public trust,full_questionnaire,1,google/gemma-4-31B-it,5d695d1a5b7708ba1bb2d8748ad116a36dfcaf29dae28e1e05f48bced265fe34,dfb71e28c6622a7f57f8e1929f3fb975a9b78ecf42bded892bbd90aea7cce06d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,921554991,success,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""funding_5_raw"", ""Q015"": ""newsletter_signup"", ""Q016"": ""donation_ams"", ""Q017"": ""inst_trust_epa"", ""Q018"": ""inst_trust_nasa"", ""Q019"": ""inst_trust_noaa"", ""Q020"": ""inst_trust_universities"", ""Q021"": ""inst_trust_federal_gov"", ""Q022"": ""distrust_post"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_specific_1"", ""Q039"": ""policy_specific_2"", ""Q040"": ""policy_specific_3"", ""Q041"": ""policy_specific_4"", ""Q042"": ""policy_specific_5"", ""Q043"": ""policy_specific_6"", ""Q044"": ""policy_specific_7""}",standard,,G|LP0001|High public trust|replicate_1,,,,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,google-gemma-4-31B-it-33075863bf05eb27ae0d85b330d40257dade0d40,"{""behavior_donate"": 15, ""behavior_fly"": 20, ""behavior_meat"": 30, ""behavior_solar"": 10, ""behavior_talk"": 40, ""behavior_transport"": 50, ""belief_post"": 80, ""concern_1"": 65, ""concern_2"": 75, ""concern_3"": 45, ""distrust_post"": 35, ""donation_ams"": 2, ""funding_5_raw"": 50, ""inst_trust_epa"": 45, ""inst_trust_federal_gov"": 30, ""inst_trust_nasa"": 80, ""inst_trust_noaa"": 60, ""inst_trust_universities"": 65, ""newsletter_signup"": 0, ""policy_general"": 60, ""policy_role_1"": 75, ""policy_role_2"": 40, ""policy_role_3"": 90, ""policy_role_4"": 60, ""policy_specific_1"": 30, ""policy_specific_2"": 70, ""policy_specific_3"": 80, ""policy_specific_4"": 85, ""policy_specific_5"": 20, ""policy_specific_6"": 75, ""policy_specific_7"": 90, ""trust_benevolence_1"": 75, ""trust_benevolence_2"": 70, ""trust_benevolence_3"": 55, ""trust_competence_1"": 80, ""trust_competence_2"": 85, ""trust_competence_3"": 80, ""trust_integrity_1"": 65, ""trust_integrity_2"": 70, ""trust_integrity_3"": 60, ""trust_openness_1"": 50, ""trust_openness_2"": 60, ""trust_openness_3"": 40, ""trust_post"": 65}"
G|LP0009|Extreme weather predictions|replicate_1,G,target,LP0009,Extreme weather predictions,full_questionnaire,1,google/gemma-4-31B-it,7a82205d8a43e0d483f2be439d228b943d76d2a84f7ef9cb771b24319ff8f7a2,65861bb80d12fa50b6b8ac6da95c62ea8b9b211990f72cbf6a380dc704b3c4f1,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1327120093,success,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""inst_trust_epa"", ""Q014"": ""inst_trust_nasa"", ""Q015"": ""inst_trust_noaa"", ""Q016"": ""inst_trust_universities"", ""Q017"": ""inst_trust_federal_gov"", ""Q018"": ""donation_ams"", ""Q019"": ""policy_role_1"", ""Q020"": ""policy_role_2"", ""Q021"": ""policy_role_3"", ""Q022"": ""policy_role_4"", ""Q023"": ""newsletter_signup"", ""Q024"": ""distrust_post"", ""Q025"": ""funding_5_raw"", ""Q026"": ""trust_post"", ""Q027"": ""belief_post"", ""Q028"": ""policy_specific_1"", ""Q029"": ""policy_specific_2"", ""Q030"": ""policy_specific_3"", ""Q031"": ""policy_specific_4"", ""Q032"": ""policy_specific_5"", ""Q033"": ""policy_specific_6"", ""Q034"": ""policy_specific_7"", ""Q035"": ""concern_1"", ""Q036"": ""concern_2"", ""Q037"": ""concern_3"", ""Q038"": ""behavior_meat"", ""Q039"": ""behavior_transport"", ""Q040"": ""behavior_solar"", ""Q041"": ""behavior_fly"", ""Q042"": ""behavior_talk"", ""Q043"": ""behavior_donate"", ""Q044"": ""policy_general""}",standard,,G|LP0009|Extreme weather predictions|replicate_1,,,,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,google-gemma-4-31B-it-48513eb42dec95cfd19f22b0aaf2fd86d4db6ecc,"{""behavior_donate"": 10, ""behavior_fly"": 10, ""behavior_meat"": 10, ""behavior_solar"": 30, ""behavior_talk"": 20, ""behavior_transport"": 20, ""belief_post"": 40, ""concern_1"": 30, ""concern_2"": 40, ""concern_3"": 20, ""distrust_post"": 50, ""donation_ams"": 0, ""funding_5_raw"": 80, ""inst_trust_epa"": 20, ""inst_trust_federal_gov"": 30, ""inst_trust_nasa"": 80, ""inst_trust_noaa"": 60, ""inst_trust_universities"": 50, ""newsletter_signup"": 0, ""policy_general"": 30, ""policy_role_1"": 60, ""policy_role_2"": 20, ""policy_role_3"": 90, ""policy_role_4"": 30, ""policy_specific_1"": 10, ""policy_specific_2"": 50, ""policy_specific_3"": 60, ""policy_specific_4"": 80, ""policy_specific_5"": 5, ""policy_specific_6"": 50, ""policy_specific_7"": 90, ""trust_benevolence_1"": 55, ""trust_benevolence_2"": 60, ""trust_benevolence_3"": 40, ""trust_competence_1"": 65, ""trust_competence_2"": 75, ""trust_competence_3"": 70, ""trust_integrity_1"": 45, ""trust_integrity_2"": 50, ""trust_integrity_3"": 40, ""trust_openness_1"": 30, ""trust_openness_2"": 35, ""trust_openness_3"": 25, ""trust_post"": 50}"
G|LP0001|Consensus|stage_a|replicate_1,G,target,LP0001,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,02fbcef87b3eb719f6cd153b24c9defa9e20a12518079abe9542b6091cc45ecd,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1077939037,success,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0001|Consensus|stage_a|replicate_1,02fbcef87b3eb719f6cd153b24c9defa9e20a12518079abe9542b6091cc45ecd,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,google-gemma-4-31B-it-9a06d0e4b60689b85d887aafc4da968cdc3bc091,"{""consensus_estimate_co2_warms_planet"": 99, ""consensus_estimate_human_primary_cause"": 97, ""consensus_estimate_net_zero_before_2085"": 20}"
F|target|F0001|control|trust_post|replicate_1,F,target,F0001,control,trust_post,1,google/gemma-4-31B-it,3a881532f598e8b1b63b5b845d8eed4296f61611cecad0536e6d36496a4a1b7e,d29ad2f126ee4a74415d3a7edcaf4da97941d2fe638985dbab28b1503afadf7a,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,917428843,success,trust_post_1,"{""trust_post_1"": ""trust_post""}",standard,,F|target|F0001|control|trust_post|replicate_1,,,,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,google-gemma-4-31B-it-cac9bb885f35771207bfafec4c7315876a82af2e,"{""trust_post"": 65}"
F|target|F0001|Funding|trust_post|replicate_1,F,target,F0001,Funding,trust_post,1,google/gemma-4-31B-it,ac11498bfb632e420d1430c5643060ae5e49d4c237a6ef44abc4eb8eeab18c7a,d29ad2f126ee4a74415d3a7edcaf4da97941d2fe638985dbab28b1503afadf7a,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,49056868,success,trust_post_1,"{""trust_post_1"": ""trust_post""}",standard,,F|target|F0001|Funding|trust_post|replicate_1,,,,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,google-gemma-4-31B-it-2894fb92019e6e8c4cee95923eea1c1c68bb9a9f,"{""trust_post"": 65}"
F|target|F0001|control|newsletter_signup|replicate_1,F,target,F0001,control,newsletter_signup,1,google/gemma-4-31B-it,9b144fbaad45792c4e54d537d09cb1300106ac933fc95c522c3ae0a13aa68a7b,4b6b8993ef74bd8e53209a244498caba32ac0e2f12c547b8695595399f80ea07,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,351133923,success,newsletter,"{""newsletter"": ""newsletter_signup""}",standard,,F|target|F0001|control|newsletter_signup|replicate_1,,,,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,google-gemma-4-31B-it-947cad5707877273e665199ffe2a12ca16e49b3d,"{""newsletter_signup"": 0}"
F|target|F0001|Corporate reliance|newsletter_signup|replicate_1,F,target,F0001,Corporate reliance,newsletter_signup,1,google/gemma-4-31B-it,fd240ac3c1c496880700abdf4a86b5b984e91c99b49d2f95f94cae1251216c93,4b6b8993ef74bd8e53209a244498caba32ac0e2f12c547b8695595399f80ea07,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1922413291,success,newsletter,"{""newsletter"": ""newsletter_signup""}",standard,,F|target|F0001|Corporate reliance|newsletter_signup|replicate_1,,,,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,google-gemma-4-31B-it-b2c8fde5aab7bfe10ceaff476351f21f9d2b88d1,"{""newsletter_signup"": 0}"
F|target|F0001|control|belief_post|replicate_1,F,target,F0001,control,belief_post,1,google/gemma-4-31B-it,12f1ad31fe023870fe1c0abd13ab2df6e9cba1909185840b5247f45f66f95710,c6cd4ea417b0f21de505645457e277e422387fb38f012e29fca3d65957bc4a0f,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1327170421,success,belief_post_1,"{""belief_post_1"": ""belief_post""}",standard,,F|target|F0001|control|belief_post|replicate_1,,,,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,google-gemma-4-31B-it-86d2b3133f56af5a1ec1f76d002f745a9b5deb66,"{""belief_post"": 65}"
F|target|F0001|Consensus|stage_a|replicate_1,F,target,F0001,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,6cda0c3aad7a7ca72dc96c515be36622e61d95e758ee2449bac92cf26b0d876a,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,424558762,success,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0001|Consensus|stage_a|replicate_1,6cda0c3aad7a7ca72dc96c515be36622e61d95e758ee2449bac92cf26b0d876a,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,google-gemma-4-31B-it-5148d06a5d70209f03d28d7a855018392c6a270e,"{""consensus_estimate_co2_warms_planet"": 95, ""consensus_estimate_human_primary_cause"": 90, ""consensus_estimate_net_zero_before_2085"": 30}"
