request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,engine_config_hash
G|LP0001|Interview Prof. Sebille|replicate_2|fmt_v2,G-876a3dc7fd2bbbdbea4350c8dfd80088b1a4cd50,G,target,LP0001,Interview Prof. Sebille,full_questionnaire,2,google/gemma-4-31B-it,7d24fac91869d9edf2a22c99f954cf339262ff727cefc5c957f3769dbb1ca0fa,dfb71e28c6622a7f57f8e1929f3fb975a9b78ecf42bded892bbd90aea7cce06d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,201340781,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""funding_5_raw"", ""Q015"": ""newsletter_signup"", ""Q016"": ""donation_ams"", ""Q017"": ""inst_trust_epa"", ""Q018"": ""inst_trust_nasa"", ""Q019"": ""inst_trust_noaa"", ""Q020"": ""inst_trust_universities"", ""Q021"": ""inst_trust_federal_gov"", ""Q022"": ""distrust_post"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_specific_1"", ""Q039"": ""policy_specific_2"", ""Q040"": ""policy_specific_3"", ""Q041"": ""policy_specific_4"", ""Q042"": ""policy_specific_5"", ""Q043"": ""policy_specific_6"", ""Q044"": ""policy_specific_7""}",standard,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0001|Model accuracy|replicate_2|fmt_v2,G-9fd9d3eec05d91f88610f9177d5d954b945cdd60,G,target,LP0001,Model accuracy,full_questionnaire,2,google/gemma-4-31B-it,b025b1c533adaf14ed1814f61e789372bfbbf9093f43590ee2789d88b02359c7,dfb71e28c6622a7f57f8e1929f3fb975a9b78ecf42bded892bbd90aea7cce06d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1128920,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""funding_5_raw"", ""Q015"": ""newsletter_signup"", ""Q016"": ""donation_ams"", ""Q017"": ""inst_trust_epa"", ""Q018"": ""inst_trust_nasa"", ""Q019"": ""inst_trust_noaa"", ""Q020"": ""inst_trust_universities"", ""Q021"": ""inst_trust_federal_gov"", ""Q022"": ""distrust_post"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_specific_1"", ""Q039"": ""policy_specific_2"", ""Q040"": ""policy_specific_3"", ""Q041"": ""policy_specific_4"", ""Q042"": ""policy_specific_5"", ""Q043"": ""policy_specific_6"", ""Q044"": ""policy_specific_7""}",standard,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0001|Portrait Prof. Cherry|replicate_2|fmt_v2,G-61663c3ae83f2d9ceecca74139f1a3ac17fe4f48,G,target,LP0001,Portrait Prof. Cherry,full_questionnaire,2,google/gemma-4-31B-it,748c18fd42225964d01fbd8e114b8e7942e19c8f596e1dc9fac02d1e4a2f2298,dfb71e28c6622a7f57f8e1929f3fb975a9b78ecf42bded892bbd90aea7cce06d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,722183699,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""funding_5_raw"", ""Q015"": ""newsletter_signup"", ""Q016"": ""donation_ams"", ""Q017"": ""inst_trust_epa"", ""Q018"": ""inst_trust_nasa"", ""Q019"": ""inst_trust_noaa"", ""Q020"": ""inst_trust_universities"", ""Q021"": ""inst_trust_federal_gov"", ""Q022"": ""distrust_post"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_specific_1"", ""Q039"": ""policy_specific_2"", ""Q040"": ""policy_specific_3"", ""Q041"": ""policy_specific_4"", ""Q042"": ""policy_specific_5"", ""Q043"": ""policy_specific_6"", ""Q044"": ""policy_specific_7""}",standard,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0003|Corporate reliance|replicate_2|fmt_v2,G-77d147fe1f03cd51705294c69788bf1ea1c011fc,G,target,LP0003,Corporate reliance,full_questionnaire,2,google/gemma-4-31B-it,89e06a6e4950d134c6dd3814310c366241e60bb635f86b9d32c28a60c1deb6a0,11493604706794d63835530fa42668773c9769ba6a103753272c0e0a8193a9c0,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,245783887,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""distrust_post"", ""Q014"": ""policy_role_1"", ""Q015"": ""policy_role_2"", ""Q016"": ""policy_role_3"", ""Q017"": ""policy_role_4"", ""Q018"": ""inst_trust_epa"", ""Q019"": ""inst_trust_nasa"", ""Q020"": ""inst_trust_noaa"", ""Q021"": ""inst_trust_universities"", ""Q022"": ""inst_trust_federal_gov"", ""Q023"": ""trust_post"", ""Q024"": ""newsletter_signup"", ""Q025"": ""funding_5_raw"", ""Q026"": ""donation_ams"", ""Q027"": ""belief_post"", ""Q028"": ""policy_specific_1"", ""Q029"": ""policy_specific_2"", ""Q030"": ""policy_specific_3"", ""Q031"": ""policy_specific_4"", ""Q032"": ""policy_specific_5"", ""Q033"": ""policy_specific_6"", ""Q034"": ""policy_specific_7"", ""Q035"": ""concern_1"", ""Q036"": ""concern_2"", ""Q037"": ""concern_3"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0003|Social justice|replicate_2|fmt_v2,G-70ce56da168520544413be306f5e3f6fe2568fc1,G,target,LP0003,Social justice,full_questionnaire,2,google/gemma-4-31B-it,f727381d783a0792d4c5674f47a3bd81f1162fd756da9c759f5179ab066580c5,11493604706794d63835530fa42668773c9769ba6a103753272c0e0a8193a9c0,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,2015481353,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""distrust_post"", ""Q014"": ""policy_role_1"", ""Q015"": ""policy_role_2"", ""Q016"": ""policy_role_3"", ""Q017"": ""policy_role_4"", ""Q018"": ""inst_trust_epa"", ""Q019"": ""inst_trust_nasa"", ""Q020"": ""inst_trust_noaa"", ""Q021"": ""inst_trust_universities"", ""Q022"": ""inst_trust_federal_gov"", ""Q023"": ""trust_post"", ""Q024"": ""newsletter_signup"", ""Q025"": ""funding_5_raw"", ""Q026"": ""donation_ams"", ""Q027"": ""belief_post"", ""Q028"": ""policy_specific_1"", ""Q029"": ""policy_specific_2"", ""Q030"": ""policy_specific_3"", ""Q031"": ""policy_specific_4"", ""Q032"": ""policy_specific_5"", ""Q033"": ""policy_specific_6"", ""Q034"": ""policy_specific_7"", ""Q035"": ""concern_1"", ""Q036"": ""concern_2"", ""Q037"": ""concern_3"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0003|control|replicate_2|fmt_v2,G-d2b05770c83dd324270ba0cd9d6fe1ff01d6de55,G,target,LP0003,control,full_questionnaire,2,google/gemma-4-31B-it,8348576d57dd2e0b9867887329445e50a8048ea85b5c48ee1f3591fc44246858,11493604706794d63835530fa42668773c9769ba6a103753272c0e0a8193a9c0,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1839104520,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""distrust_post"", ""Q014"": ""policy_role_1"", ""Q015"": ""policy_role_2"", ""Q016"": ""policy_role_3"", ""Q017"": ""policy_role_4"", ""Q018"": ""inst_trust_epa"", ""Q019"": ""inst_trust_nasa"", ""Q020"": ""inst_trust_noaa"", ""Q021"": ""inst_trust_universities"", ""Q022"": ""inst_trust_federal_gov"", ""Q023"": ""trust_post"", ""Q024"": ""newsletter_signup"", ""Q025"": ""funding_5_raw"", ""Q026"": ""donation_ams"", ""Q027"": ""belief_post"", ""Q028"": ""policy_specific_1"", ""Q029"": ""policy_specific_2"", ""Q030"": ""policy_specific_3"", ""Q031"": ""policy_specific_4"", ""Q032"": ""policy_specific_5"", ""Q033"": ""policy_specific_6"", ""Q034"": ""policy_specific_7"", ""Q035"": ""concern_1"", ""Q036"": ""concern_2"", ""Q037"": ""concern_3"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0004|Funding|replicate_2|fmt_v2,G-0d0a9bc37489804cc1767022aa8d9524e691606c,G,target,LP0004,Funding,full_questionnaire,2,google/gemma-4-31B-it,6b9718c53f34f4784af49f2f21322cd3e2b9460977b7f7b7863a7df24fd6df96,946056600450ab8cdd39a4bc8983792aef7b46b0b22a2395d1bf558a96e4097f,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,245282771,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""donation_ams"", ""Q014"": ""trust_post"", ""Q015"": ""policy_role_1"", ""Q016"": ""policy_role_2"", ""Q017"": ""policy_role_3"", ""Q018"": ""policy_role_4"", ""Q019"": ""funding_5_raw"", ""Q020"": ""distrust_post"", ""Q021"": ""inst_trust_epa"", ""Q022"": ""inst_trust_nasa"", ""Q023"": ""inst_trust_noaa"", ""Q024"": ""inst_trust_universities"", ""Q025"": ""inst_trust_federal_gov"", ""Q026"": ""newsletter_signup"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""belief_post"", ""Q034"": ""policy_general"", ""Q035"": ""concern_1"", ""Q036"": ""concern_2"", ""Q037"": ""concern_3"", ""Q038"": ""policy_specific_1"", ""Q039"": ""policy_specific_2"", ""Q040"": ""policy_specific_3"", ""Q041"": ""policy_specific_4"", ""Q042"": ""policy_specific_5"", ""Q043"": ""policy_specific_6"", ""Q044"": ""policy_specific_7""}",standard,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0005|High public trust|replicate_2|fmt_v2,G-1005efddf03105ccae71e20cde125e895b4632d2,G,target,LP0005,High public trust,full_questionnaire,2,google/gemma-4-31B-it,580859e2236de81188513ea2a882565dfbf0287f959abe423ee65e5c1b40debe,a688b9ec952f1287c03f1451368ae57ac298be14e4f128e7dbfbc419291ecfa2,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,272426376,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""distrust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""inst_trust_epa"", ""Q016"": ""inst_trust_nasa"", ""Q017"": ""inst_trust_noaa"", ""Q018"": ""inst_trust_universities"", ""Q019"": ""inst_trust_federal_gov"", ""Q020"": ""trust_post"", ""Q021"": ""funding_5_raw"", ""Q022"": ""policy_role_1"", ""Q023"": ""policy_role_2"", ""Q024"": ""policy_role_3"", ""Q025"": ""policy_role_4"", ""Q026"": ""donation_ams"", ""Q027"": ""belief_post"", ""Q028"": ""policy_specific_1"", ""Q029"": ""policy_specific_2"", ""Q030"": ""policy_specific_3"", ""Q031"": ""policy_specific_4"", ""Q032"": ""policy_specific_5"", ""Q033"": ""policy_specific_6"", ""Q034"": ""policy_specific_7"", ""Q035"": ""behavior_meat"", ""Q036"": ""behavior_transport"", ""Q037"": ""behavior_solar"", ""Q038"": ""behavior_fly"", ""Q039"": ""behavior_talk"", ""Q040"": ""behavior_donate"", ""Q041"": ""policy_general"", ""Q042"": ""concern_1"", ""Q043"": ""concern_2"", ""Q044"": ""concern_3""}",standard,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0005|Measurement & modeling (2)|replicate_2|fmt_v2,G-afb91ff5f536dc764bf1f2cff41b13f9013bc7a4,G,target,LP0005,Measurement & modeling (2),full_questionnaire,2,google/gemma-4-31B-it,31db5160c284b25a03e9f89948e4d39ac5c448b62fd1ef888ede241903d2b8d0,a688b9ec952f1287c03f1451368ae57ac298be14e4f128e7dbfbc419291ecfa2,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1420368996,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""distrust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""inst_trust_epa"", ""Q016"": ""inst_trust_nasa"", ""Q017"": ""inst_trust_noaa"", ""Q018"": ""inst_trust_universities"", ""Q019"": ""inst_trust_federal_gov"", ""Q020"": ""trust_post"", ""Q021"": ""funding_5_raw"", ""Q022"": ""policy_role_1"", ""Q023"": ""policy_role_2"", ""Q024"": ""policy_role_3"", ""Q025"": ""policy_role_4"", ""Q026"": ""donation_ams"", ""Q027"": ""belief_post"", ""Q028"": ""policy_specific_1"", ""Q029"": ""policy_specific_2"", ""Q030"": ""policy_specific_3"", ""Q031"": ""policy_specific_4"", ""Q032"": ""policy_specific_5"", ""Q033"": ""policy_specific_6"", ""Q034"": ""policy_specific_7"", ""Q035"": ""behavior_meat"", ""Q036"": ""behavior_transport"", ""Q037"": ""behavior_solar"", ""Q038"": ""behavior_fly"", ""Q039"": ""behavior_talk"", ""Q040"": ""behavior_donate"", ""Q041"": ""policy_general"", ""Q042"": ""concern_1"", ""Q043"": ""concern_2"", ""Q044"": ""concern_3""}",standard,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
G|LP0005|Peer-review|replicate_2|fmt_v2,G-849f0b1bc88c58f4fff3fbae188f7c5fa2da7159,G,target,LP0005,Peer-review,full_questionnaire,2,google/gemma-4-31B-it,694009416e91aa13e5f3fa1c460e5dbaeb01001314854e6cc7e733518914912e,a688b9ec952f1287c03f1451368ae57ac298be14e4f128e7dbfbc419291ecfa2,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1372221229,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""distrust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""inst_trust_epa"", ""Q016"": ""inst_trust_nasa"", ""Q017"": ""inst_trust_noaa"", ""Q018"": ""inst_trust_universities"", ""Q019"": ""inst_trust_federal_gov"", ""Q020"": ""trust_post"", ""Q021"": ""funding_5_raw"", ""Q022"": ""policy_role_1"", ""Q023"": ""policy_role_2"", ""Q024"": ""policy_role_3"", ""Q025"": ""policy_role_4"", ""Q026"": ""donation_ams"", ""Q027"": ""belief_post"", ""Q028"": ""policy_specific_1"", ""Q029"": ""policy_specific_2"", ""Q030"": ""policy_specific_3"", ""Q031"": ""policy_specific_4"", ""Q032"": ""policy_specific_5"", ""Q033"": ""policy_specific_6"", ""Q034"": ""policy_specific_7"", ""Q035"": ""behavior_meat"", ""Q036"": ""behavior_transport"", ""Q037"": ""behavior_solar"", ""Q038"": ""behavior_fly"", ""Q039"": ""behavior_talk"", ""Q040"": ""behavior_donate"", ""Q041"": ""policy_general"", ""Q042"": ""concern_1"", ""Q043"": ""concern_2"", ""Q044"": ""concern_3""}",standard,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1
