request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
G|LP0751|control|replicate_1|fmt_v2,G-d7a507a2932350b8288265e98b76aaf5d96740fc,G,target,LP0751,control,full_questionnaire,1,google/gemma-4-31B-it,f43e6f5d4d1f629d0852c93c8a5b3f3e81a0e5017bbc3b5cfff9f5e50e5920da,06dacff0aa08906ba0f9d1ef4b1fdfe13303366770b5330b94ec6687a7a2a0fc,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1114464256,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""donation_ams"", ""Q014"": ""trust_post"", ""Q015"": ""funding_5_raw"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""distrust_post"", ""Q022"": ""newsletter_signup"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""policy_specific_1"", ""Q035"": ""policy_specific_2"", ""Q036"": ""policy_specific_3"", ""Q037"": ""policy_specific_4"", ""Q038"": ""policy_specific_5"", ""Q039"": ""policy_specific_6"", ""Q040"": ""policy_specific_7"", ""Q041"": ""concern_1"", ""Q042"": ""concern_2"", ""Q043"": ""concern_3"", ""Q044"": ""belief_post""}",standard,,,,,
G|LP0751|Corporate reliance|replicate_1|fmt_v2,G-c5f38bb603866722066c32c7d8b512098b80155e,G,target,LP0751,Corporate reliance,full_questionnaire,1,google/gemma-4-31B-it,698ec7440511fdf920ad26aad7b1ebe6b0ac4f75d2586d1de3afea0599167407,06dacff0aa08906ba0f9d1ef4b1fdfe13303366770b5330b94ec6687a7a2a0fc,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,258834065,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""donation_ams"", ""Q014"": ""trust_post"", ""Q015"": ""funding_5_raw"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""distrust_post"", ""Q022"": ""newsletter_signup"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""policy_specific_1"", ""Q035"": ""policy_specific_2"", ""Q036"": ""policy_specific_3"", ""Q037"": ""policy_specific_4"", ""Q038"": ""policy_specific_5"", ""Q039"": ""policy_specific_6"", ""Q040"": ""policy_specific_7"", ""Q041"": ""concern_1"", ""Q042"": ""concern_2"", ""Q043"": ""concern_3"", ""Q044"": ""belief_post""}",standard,,,,,
G|LP0751|Social justice|replicate_1|fmt_v2,G-dd22fec4ccb6ecfd5a9eba79609745a489a88b23,G,target,LP0751,Social justice,full_questionnaire,1,google/gemma-4-31B-it,e3c9d2eabcb811670c9b82737abb6c54170258a0dd31939d03b15d4bf997e4ed,06dacff0aa08906ba0f9d1ef4b1fdfe13303366770b5330b94ec6687a7a2a0fc,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,117238410,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""donation_ams"", ""Q014"": ""trust_post"", ""Q015"": ""funding_5_raw"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""distrust_post"", ""Q022"": ""newsletter_signup"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""policy_specific_1"", ""Q035"": ""policy_specific_2"", ""Q036"": ""policy_specific_3"", ""Q037"": ""policy_specific_4"", ""Q038"": ""policy_specific_5"", ""Q039"": ""policy_specific_6"", ""Q040"": ""policy_specific_7"", ""Q041"": ""concern_1"", ""Q042"": ""concern_2"", ""Q043"": ""concern_3"", ""Q044"": ""belief_post""}",standard,,,,,
G|LP0751|Interview Prof. Maraun|replicate_1|fmt_v2,G-ae4eceb88155b1249defaf344bfaad4e9ddb7793,G,target,LP0751,Interview Prof. Maraun,full_questionnaire,1,google/gemma-4-31B-it,9876711461407962f8020689c62ac771c0a82c588ea8dee282f4911b7c9308a0,06dacff0aa08906ba0f9d1ef4b1fdfe13303366770b5330b94ec6687a7a2a0fc,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1576226455,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""donation_ams"", ""Q014"": ""trust_post"", ""Q015"": ""funding_5_raw"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""distrust_post"", ""Q022"": ""newsletter_signup"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""policy_specific_1"", ""Q035"": ""policy_specific_2"", ""Q036"": ""policy_specific_3"", ""Q037"": ""policy_specific_4"", ""Q038"": ""policy_specific_5"", ""Q039"": ""policy_specific_6"", ""Q040"": ""policy_specific_7"", ""Q041"": ""concern_1"", ""Q042"": ""concern_2"", ""Q043"": ""concern_3"", ""Q044"": ""belief_post""}",standard,,,,,
G|LP0751|Funding|replicate_1|fmt_v2,G-135618b8ab925b7495338185b8305765280fbe76,G,target,LP0751,Funding,full_questionnaire,1,google/gemma-4-31B-it,b27919aedf1c7ba14df1b9aeecd49988d4184a51c7bf59f6466bc00cfc33556a,06dacff0aa08906ba0f9d1ef4b1fdfe13303366770b5330b94ec6687a7a2a0fc,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1379831013,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""donation_ams"", ""Q014"": ""trust_post"", ""Q015"": ""funding_5_raw"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""distrust_post"", ""Q022"": ""newsletter_signup"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""policy_specific_1"", ""Q035"": ""policy_specific_2"", ""Q036"": ""policy_specific_3"", ""Q037"": ""policy_specific_4"", ""Q038"": ""policy_specific_5"", ""Q039"": ""policy_specific_6"", ""Q040"": ""policy_specific_7"", ""Q041"": ""concern_1"", ""Q042"": ""concern_2"", ""Q043"": ""concern_3"", ""Q044"": ""belief_post""}",standard,,,,,
G|LP0751|Oil industry misinformation|replicate_1|fmt_v2,G-ef71666d4e61f8c1f377be16a09720eb5e909cb8,G,target,LP0751,Oil industry misinformation,full_questionnaire,1,google/gemma-4-31B-it,44117862235565cac34f50ce1298f48acbfb045530e8ca41bb08c2e1db277c00,06dacff0aa08906ba0f9d1ef4b1fdfe13303366770b5330b94ec6687a7a2a0fc,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,759481759,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""donation_ams"", ""Q014"": ""trust_post"", ""Q015"": ""funding_5_raw"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""distrust_post"", ""Q022"": ""newsletter_signup"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""policy_specific_1"", ""Q035"": ""policy_specific_2"", ""Q036"": ""policy_specific_3"", ""Q037"": ""policy_specific_4"", ""Q038"": ""policy_specific_5"", ""Q039"": ""policy_specific_6"", ""Q040"": ""policy_specific_7"", ""Q041"": ""concern_1"", ""Q042"": ""concern_2"", ""Q043"": ""concern_3"", ""Q044"": ""belief_post""}",standard,,,,,
G|LP0751|Measurement & modeling (1)|replicate_1|fmt_v2,G-7c77e72862891d155a235a5f634f009feafddf91,G,target,LP0751,Measurement & modeling (1),full_questionnaire,1,google/gemma-4-31B-it,a03beb76193a52d1574f09f692123ee2485e824f412c9f8087c8fee94553e618,06dacff0aa08906ba0f9d1ef4b1fdfe13303366770b5330b94ec6687a7a2a0fc,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1534651239,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""donation_ams"", ""Q014"": ""trust_post"", ""Q015"": ""funding_5_raw"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""distrust_post"", ""Q022"": ""newsletter_signup"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""policy_specific_1"", ""Q035"": ""policy_specific_2"", ""Q036"": ""policy_specific_3"", ""Q037"": ""policy_specific_4"", ""Q038"": ""policy_specific_5"", ""Q039"": ""policy_specific_6"", ""Q040"": ""policy_specific_7"", ""Q041"": ""concern_1"", ""Q042"": ""concern_2"", ""Q043"": ""concern_3"", ""Q044"": ""belief_post""}",standard,,,,,
G|LP0751|Former skeptics|replicate_1|fmt_v2,G-c6f3fb42ae1eb90e08ba3c00ae5e8fafc073d35b,G,target,LP0751,Former skeptics,full_questionnaire,1,google/gemma-4-31B-it,31b463717d7975b7a8bcc6795ce6f6d474dee76e005878f7b216891ef1bb04ff,06dacff0aa08906ba0f9d1ef4b1fdfe13303366770b5330b94ec6687a7a2a0fc,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1007071126,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""donation_ams"", ""Q014"": ""trust_post"", ""Q015"": ""funding_5_raw"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""distrust_post"", ""Q022"": ""newsletter_signup"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""policy_specific_1"", ""Q035"": ""policy_specific_2"", ""Q036"": ""policy_specific_3"", ""Q037"": ""policy_specific_4"", ""Q038"": ""policy_specific_5"", ""Q039"": ""policy_specific_6"", ""Q040"": ""policy_specific_7"", ""Q041"": ""concern_1"", ""Q042"": ""concern_2"", ""Q043"": ""concern_3"", ""Q044"": ""belief_post""}",standard,,,,,
G|LP0751|High public trust|replicate_1|fmt_v2,G-19e12b717a80b66c1559bcb857206f6898d2be9a,G,target,LP0751,High public trust,full_questionnaire,1,google/gemma-4-31B-it,fac3098c895931bf034bad6b118495e7b7b064ffc550ef516620f0ecd34efb18,06dacff0aa08906ba0f9d1ef4b1fdfe13303366770b5330b94ec6687a7a2a0fc,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,776146255,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""donation_ams"", ""Q014"": ""trust_post"", ""Q015"": ""funding_5_raw"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""distrust_post"", ""Q022"": ""newsletter_signup"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""policy_specific_1"", ""Q035"": ""policy_specific_2"", ""Q036"": ""policy_specific_3"", ""Q037"": ""policy_specific_4"", ""Q038"": ""policy_specific_5"", ""Q039"": ""policy_specific_6"", ""Q040"": ""policy_specific_7"", ""Q041"": ""concern_1"", ""Q042"": ""concern_2"", ""Q043"": ""concern_3"", ""Q044"": ""belief_post""}",standard,,,,,
G|LP0751|Measurement & modeling (2)|replicate_1|fmt_v2,G-66d3d1104bbcb4e66a6141e30532a1cb4a04eea3,G,target,LP0751,Measurement & modeling (2),full_questionnaire,1,google/gemma-4-31B-it,445c775d45b076d4f819f5fcfb2532377f64a445d219646898604f2f32855c18,06dacff0aa08906ba0f9d1ef4b1fdfe13303366770b5330b94ec6687a7a2a0fc,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,426006280,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""donation_ams"", ""Q014"": ""trust_post"", ""Q015"": ""funding_5_raw"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""distrust_post"", ""Q022"": ""newsletter_signup"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""policy_specific_1"", ""Q035"": ""policy_specific_2"", ""Q036"": ""policy_specific_3"", ""Q037"": ""policy_specific_4"", ""Q038"": ""policy_specific_5"", ""Q039"": ""policy_specific_6"", ""Q040"": ""policy_specific_7"", ""Q041"": ""concern_1"", ""Q042"": ""concern_2"", ""Q043"": ""concern_3"", ""Q044"": ""belief_post""}",standard,,,,,
