request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
G|LP0001|control|replicate_1,G-b9325c06ba21421bb85120dc1ff7a39370bcdd99,G,target,LP0001,control,full_questionnaire,1,deepseek-ai/DeepSeek-V4-Pro-0813,bb1155687b4563444cc9ed00fd5539c47b160ade38ce4bf2a883667e81fdf88c,dfb71e28c6622a7f57f8e1929f3fb975a9b78ecf42bded892bbd90aea7cce06d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,746977835,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""funding_5_raw"", ""Q015"": ""newsletter_signup"", ""Q016"": ""donation_ams"", ""Q017"": ""inst_trust_epa"", ""Q018"": ""inst_trust_nasa"", ""Q019"": ""inst_trust_noaa"", ""Q020"": ""inst_trust_universities"", ""Q021"": ""inst_trust_federal_gov"", ""Q022"": ""distrust_post"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_specific_1"", ""Q039"": ""policy_specific_2"", ""Q040"": ""policy_specific_3"", ""Q041"": ""policy_specific_4"", ""Q042"": ""policy_specific_5"", ""Q043"": ""policy_specific_6"", ""Q044"": ""policy_specific_7""}",standard,,G|LP0001|control|replicate_1,,,
G|LP0001|High public trust|replicate_1,G-9d30a7f1fc8c8049a6f8446670a989e308b336d9,G,target,LP0001,High public trust,full_questionnaire,1,deepseek-ai/DeepSeek-V4-Pro-0813,5d695d1a5b7708ba1bb2d8748ad116a36dfcaf29dae28e1e05f48bced265fe34,dfb71e28c6622a7f57f8e1929f3fb975a9b78ecf42bded892bbd90aea7cce06d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,921554991,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""funding_5_raw"", ""Q015"": ""newsletter_signup"", ""Q016"": ""donation_ams"", ""Q017"": ""inst_trust_epa"", ""Q018"": ""inst_trust_nasa"", ""Q019"": ""inst_trust_noaa"", ""Q020"": ""inst_trust_universities"", ""Q021"": ""inst_trust_federal_gov"", ""Q022"": ""distrust_post"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""behavior_meat"", ""Q028"": ""behavior_transport"", ""Q029"": ""behavior_solar"", ""Q030"": ""behavior_fly"", ""Q031"": ""behavior_talk"", ""Q032"": ""behavior_donate"", ""Q033"": ""policy_general"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_specific_1"", ""Q039"": ""policy_specific_2"", ""Q040"": ""policy_specific_3"", ""Q041"": ""policy_specific_4"", ""Q042"": ""policy_specific_5"", ""Q043"": ""policy_specific_6"", ""Q044"": ""policy_specific_7""}",standard,,G|LP0001|High public trust|replicate_1,,,
G|LP0009|Extreme weather predictions|replicate_1,G-3bab280dd7c3eec1ae5bc1fee5924d3d431e86af,G,target,LP0009,Extreme weather predictions,full_questionnaire,1,deepseek-ai/DeepSeek-V4-Pro-0813,7a82205d8a43e0d483f2be439d228b943d76d2a84f7ef9cb771b24319ff8f7a2,65861bb80d12fa50b6b8ac6da95c62ea8b9b211990f72cbf6a380dc704b3c4f1,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1327120093,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""inst_trust_epa"", ""Q014"": ""inst_trust_nasa"", ""Q015"": ""inst_trust_noaa"", ""Q016"": ""inst_trust_universities"", ""Q017"": ""inst_trust_federal_gov"", ""Q018"": ""donation_ams"", ""Q019"": ""policy_role_1"", ""Q020"": ""policy_role_2"", ""Q021"": ""policy_role_3"", ""Q022"": ""policy_role_4"", ""Q023"": ""newsletter_signup"", ""Q024"": ""distrust_post"", ""Q025"": ""funding_5_raw"", ""Q026"": ""trust_post"", ""Q027"": ""belief_post"", ""Q028"": ""policy_specific_1"", ""Q029"": ""policy_specific_2"", ""Q030"": ""policy_specific_3"", ""Q031"": ""policy_specific_4"", ""Q032"": ""policy_specific_5"", ""Q033"": ""policy_specific_6"", ""Q034"": ""policy_specific_7"", ""Q035"": ""concern_1"", ""Q036"": ""concern_2"", ""Q037"": ""concern_3"", ""Q038"": ""behavior_meat"", ""Q039"": ""behavior_transport"", ""Q040"": ""behavior_solar"", ""Q041"": ""behavior_fly"", ""Q042"": ""behavior_talk"", ""Q043"": ""behavior_donate"", ""Q044"": ""policy_general""}",standard,,G|LP0009|Extreme weather predictions|replicate_1,,,
G|LP0001|Consensus|stage_a|replicate_1,G-ae1f15cae401dfc538664b51cca020efc6b45db8,G,target,LP0001,Consensus,consensus_stage_a_estimates,1,deepseek-ai/DeepSeek-V4-Pro-0813,02fbcef87b3eb719f6cd153b24c9defa9e20a12518079abe9542b6091cc45ecd,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1077939037,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,G|LP0001|Consensus|stage_a|replicate_1,02fbcef87b3eb719f6cd153b24c9defa9e20a12518079abe9542b6091cc45ecd,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0001|control|trust_post|replicate_1,F-9d2c80c37c55d8e2c622c4e0b89d853f46211baa,F,target,F0001,control,trust_post,1,deepseek-ai/DeepSeek-V4-Pro-0813,3a881532f598e8b1b63b5b845d8eed4296f61611cecad0536e6d36496a4a1b7e,d29ad2f126ee4a74415d3a7edcaf4da97941d2fe638985dbab28b1503afadf7a,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,917428843,pending,trust_post_1,"{""trust_post_1"": ""trust_post""}",standard,,F|target|F0001|control|trust_post|replicate_1,,,
F|target|F0001|Funding|trust_post|replicate_1,F-3600452016ec02232a1ea2b3a58db8eff3d5a630,F,target,F0001,Funding,trust_post,1,deepseek-ai/DeepSeek-V4-Pro-0813,ac11498bfb632e420d1430c5643060ae5e49d4c237a6ef44abc4eb8eeab18c7a,d29ad2f126ee4a74415d3a7edcaf4da97941d2fe638985dbab28b1503afadf7a,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,49056868,pending,trust_post_1,"{""trust_post_1"": ""trust_post""}",standard,,F|target|F0001|Funding|trust_post|replicate_1,,,
F|target|F0001|control|newsletter_signup|replicate_1,F-d0fefdabf2efe5889797905bbb1bf81b3d91e750,F,target,F0001,control,newsletter_signup,1,deepseek-ai/DeepSeek-V4-Pro-0813,9b144fbaad45792c4e54d537d09cb1300106ac933fc95c522c3ae0a13aa68a7b,4b6b8993ef74bd8e53209a244498caba32ac0e2f12c547b8695595399f80ea07,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,351133923,pending,newsletter,"{""newsletter"": ""newsletter_signup""}",standard,,F|target|F0001|control|newsletter_signup|replicate_1,,,
F|target|F0001|Corporate reliance|newsletter_signup|replicate_1,F-90db434450df2c6192812bfb2bc54d4669f3602a,F,target,F0001,Corporate reliance,newsletter_signup,1,deepseek-ai/DeepSeek-V4-Pro-0813,fd240ac3c1c496880700abdf4a86b5b984e91c99b49d2f95f94cae1251216c93,4b6b8993ef74bd8e53209a244498caba32ac0e2f12c547b8695595399f80ea07,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1922413291,pending,newsletter,"{""newsletter"": ""newsletter_signup""}",standard,,F|target|F0001|Corporate reliance|newsletter_signup|replicate_1,,,
F|target|F0001|control|belief_post|replicate_1,F-fde660afd34e4212cbb80ec7e5eadf5c7eba015b,F,target,F0001,control,belief_post,1,deepseek-ai/DeepSeek-V4-Pro-0813,12f1ad31fe023870fe1c0abd13ab2df6e9cba1909185840b5247f45f66f95710,c6cd4ea417b0f21de505645457e277e422387fb38f012e29fca3d65957bc4a0f,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1327170421,pending,belief_post_1,"{""belief_post_1"": ""belief_post""}",standard,,F|target|F0001|control|belief_post|replicate_1,,,
F|target|F0001|Consensus|stage_a|replicate_1,F-0962a3ff0688f8acd80e34498c54d66af80b4ee5,F,target,F0001,Consensus,consensus_stage_a_estimates,1,deepseek-ai/DeepSeek-V4-Pro-0813,6cda0c3aad7a7ca72dc96c515be36622e61d95e758ee2449bac92cf26b0d876a,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,424558762,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0001|Consensus|stage_a|replicate_1,6cda0c3aad7a7ca72dc96c515be36622e61d95e758ee2449bac92cf26b0d876a,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
