request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
G|LP0501|control|replicate_1,G-782df86d2714edbb8fe16ab3080216dd2180d96a,G,target,LP0501,control,full_questionnaire,1,google/gemma-4-31B-it,b60314b59817695e3c363a08aa92b883fd9b073f75a9cd60847ae46d283e8d59,c51de1e63d334c33719959a966939471f82e96fd977dc745dafab433357af94e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,393272983,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""distrust_post"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""donation_ams"", ""Q022"": ""funding_5_raw"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""policy_specific_1"", ""Q028"": ""policy_specific_2"", ""Q029"": ""policy_specific_3"", ""Q030"": ""policy_specific_4"", ""Q031"": ""policy_specific_5"", ""Q032"": ""policy_specific_6"", ""Q033"": ""policy_specific_7"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,,,,,
G|LP0501|Corporate reliance|replicate_1,G-8eafbf7a6dd86aa19c0f7ab1fc02147704ce1651,G,target,LP0501,Corporate reliance,full_questionnaire,1,google/gemma-4-31B-it,df751668a93f694a7c2057aaf0d838468f8af046738c15030d9b26cd0dc6db3a,c51de1e63d334c33719959a966939471f82e96fd977dc745dafab433357af94e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,188213656,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""distrust_post"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""donation_ams"", ""Q022"": ""funding_5_raw"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""policy_specific_1"", ""Q028"": ""policy_specific_2"", ""Q029"": ""policy_specific_3"", ""Q030"": ""policy_specific_4"", ""Q031"": ""policy_specific_5"", ""Q032"": ""policy_specific_6"", ""Q033"": ""policy_specific_7"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,,,,,
G|LP0501|Social justice|replicate_1,G-228d9362a5e39608110e48e1e5de69a3c6779289,G,target,LP0501,Social justice,full_questionnaire,1,google/gemma-4-31B-it,0453f80b2b479a79a315b0d63eaf55366cf40c13cc21b961cec5132e738254c7,c51de1e63d334c33719959a966939471f82e96fd977dc745dafab433357af94e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1795079373,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""distrust_post"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""donation_ams"", ""Q022"": ""funding_5_raw"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""policy_specific_1"", ""Q028"": ""policy_specific_2"", ""Q029"": ""policy_specific_3"", ""Q030"": ""policy_specific_4"", ""Q031"": ""policy_specific_5"", ""Q032"": ""policy_specific_6"", ""Q033"": ""policy_specific_7"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,,,,,
G|LP0501|Interview Prof. Maraun|replicate_1,G-e3305bee7638ddcd03d1dee27d0d173ccbfa7d84,G,target,LP0501,Interview Prof. Maraun,full_questionnaire,1,google/gemma-4-31B-it,bece6db4d0f346f9f0617285e0f4065f5c3a97d6b7c5458c3c2a0d85c3a0b01d,c51de1e63d334c33719959a966939471f82e96fd977dc745dafab433357af94e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1016698285,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""distrust_post"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""donation_ams"", ""Q022"": ""funding_5_raw"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""policy_specific_1"", ""Q028"": ""policy_specific_2"", ""Q029"": ""policy_specific_3"", ""Q030"": ""policy_specific_4"", ""Q031"": ""policy_specific_5"", ""Q032"": ""policy_specific_6"", ""Q033"": ""policy_specific_7"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,,,,,
G|LP0501|Funding|replicate_1,G-a7ae283b1c8968c25b62f7c340ee391691583ace,G,target,LP0501,Funding,full_questionnaire,1,google/gemma-4-31B-it,a8cbba9a3c222e89cf41863d9a250729136cab93cc6cf9addd0e1db9e4824c05,c51de1e63d334c33719959a966939471f82e96fd977dc745dafab433357af94e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1810217274,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""distrust_post"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""donation_ams"", ""Q022"": ""funding_5_raw"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""policy_specific_1"", ""Q028"": ""policy_specific_2"", ""Q029"": ""policy_specific_3"", ""Q030"": ""policy_specific_4"", ""Q031"": ""policy_specific_5"", ""Q032"": ""policy_specific_6"", ""Q033"": ""policy_specific_7"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,,,,,
G|LP0501|Oil industry misinformation|replicate_1,G-ec32c043c181e075e95798296385c3dd004a5702,G,target,LP0501,Oil industry misinformation,full_questionnaire,1,google/gemma-4-31B-it,253f2110d0e506d54b48264e87323a9042e45d4c2fbf8e525e1f3f88475b79d9,c51de1e63d334c33719959a966939471f82e96fd977dc745dafab433357af94e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,434594048,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""distrust_post"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""donation_ams"", ""Q022"": ""funding_5_raw"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""policy_specific_1"", ""Q028"": ""policy_specific_2"", ""Q029"": ""policy_specific_3"", ""Q030"": ""policy_specific_4"", ""Q031"": ""policy_specific_5"", ""Q032"": ""policy_specific_6"", ""Q033"": ""policy_specific_7"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,,,,,
G|LP0501|Measurement & modeling (1)|replicate_1,G-d72de23a4141f91db2c7adff32b28ab823712b1b,G,target,LP0501,Measurement & modeling (1),full_questionnaire,1,google/gemma-4-31B-it,6f191dfe0bfac34ae0e2f5e358dfa80a4bcc787ea04749b6f23c3b6174d70874,c51de1e63d334c33719959a966939471f82e96fd977dc745dafab433357af94e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1872608660,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""distrust_post"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""donation_ams"", ""Q022"": ""funding_5_raw"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""policy_specific_1"", ""Q028"": ""policy_specific_2"", ""Q029"": ""policy_specific_3"", ""Q030"": ""policy_specific_4"", ""Q031"": ""policy_specific_5"", ""Q032"": ""policy_specific_6"", ""Q033"": ""policy_specific_7"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,,,,,
G|LP0501|Former skeptics|replicate_1,G-1c15bd523e2b133dbe288ffcedb08de70705c63b,G,target,LP0501,Former skeptics,full_questionnaire,1,google/gemma-4-31B-it,945eb243e8bfe96bc5dec3422bb52f715199eabda58d75915405248b98ddf835,c51de1e63d334c33719959a966939471f82e96fd977dc745dafab433357af94e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,1985383905,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""distrust_post"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""donation_ams"", ""Q022"": ""funding_5_raw"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""policy_specific_1"", ""Q028"": ""policy_specific_2"", ""Q029"": ""policy_specific_3"", ""Q030"": ""policy_specific_4"", ""Q031"": ""policy_specific_5"", ""Q032"": ""policy_specific_6"", ""Q033"": ""policy_specific_7"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,,,,,
G|LP0501|High public trust|replicate_1,G-e6a063f45dbb831fdeb97af7cd24ff60c9b73db8,G,target,LP0501,High public trust,full_questionnaire,1,google/gemma-4-31B-it,d343e396a0d5cbf247f1f049d6f18283328eb6405fb4788331855394dc0be767,c51de1e63d334c33719959a966939471f82e96fd977dc745dafab433357af94e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,721177355,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""distrust_post"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""donation_ams"", ""Q022"": ""funding_5_raw"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""policy_specific_1"", ""Q028"": ""policy_specific_2"", ""Q029"": ""policy_specific_3"", ""Q030"": ""policy_specific_4"", ""Q031"": ""policy_specific_5"", ""Q032"": ""policy_specific_6"", ""Q033"": ""policy_specific_7"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,,,,,
G|LP0501|Measurement & modeling (2)|replicate_1,G-0ddd1ca7fbc082ddbdabe3a3708e953b4fd55c7f,G,target,LP0501,Measurement & modeling (2),full_questionnaire,1,google/gemma-4-31B-it,4bcf56df8ba25f14b15f7ce362bd78e1a6d24d1bacac3e64779128932a15bfd8,c51de1e63d334c33719959a966939471f82e96fd977dc745dafab433357af94e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,393919533,pending,Q001|Q002|Q003|Q004|Q005|Q006|Q007|Q008|Q009|Q010|Q011|Q012|Q013|Q014|Q015|Q016|Q017|Q018|Q019|Q020|Q021|Q022|Q023|Q024|Q025|Q026|Q027|Q028|Q029|Q030|Q031|Q032|Q033|Q034|Q035|Q036|Q037|Q038|Q039|Q040|Q041|Q042|Q043|Q044,"{""Q001"": ""trust_competence_1"", ""Q002"": ""trust_competence_2"", ""Q003"": ""trust_competence_3"", ""Q004"": ""trust_integrity_1"", ""Q005"": ""trust_integrity_2"", ""Q006"": ""trust_integrity_3"", ""Q007"": ""trust_benevolence_1"", ""Q008"": ""trust_benevolence_2"", ""Q009"": ""trust_benevolence_3"", ""Q010"": ""trust_openness_1"", ""Q011"": ""trust_openness_2"", ""Q012"": ""trust_openness_3"", ""Q013"": ""trust_post"", ""Q014"": ""newsletter_signup"", ""Q015"": ""distrust_post"", ""Q016"": ""inst_trust_epa"", ""Q017"": ""inst_trust_nasa"", ""Q018"": ""inst_trust_noaa"", ""Q019"": ""inst_trust_universities"", ""Q020"": ""inst_trust_federal_gov"", ""Q021"": ""donation_ams"", ""Q022"": ""funding_5_raw"", ""Q023"": ""policy_role_1"", ""Q024"": ""policy_role_2"", ""Q025"": ""policy_role_3"", ""Q026"": ""policy_role_4"", ""Q027"": ""policy_specific_1"", ""Q028"": ""policy_specific_2"", ""Q029"": ""policy_specific_3"", ""Q030"": ""policy_specific_4"", ""Q031"": ""policy_specific_5"", ""Q032"": ""policy_specific_6"", ""Q033"": ""policy_specific_7"", ""Q034"": ""concern_1"", ""Q035"": ""concern_2"", ""Q036"": ""concern_3"", ""Q037"": ""belief_post"", ""Q038"": ""policy_general"", ""Q039"": ""behavior_meat"", ""Q040"": ""behavior_transport"", ""Q041"": ""behavior_solar"", ""Q042"": ""behavior_fly"", ""Q043"": ""behavior_talk"", ""Q044"": ""behavior_donate""}",standard,,,,,
