request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
F|target|F0126|control|trust_multidimensional|replicate_1,F-6670875d9bb1a4695cb83796a302707bde2cc9b2,F,target,F0126,control,trust_multidimensional,1,google/gemma-4-31B-it,31308ef43b3f12d7610425bd03147d9a831b74bec1be9f2427366235b791121d,b8d0cc51184a7feca94964de9c8ff25a56d9b6c542047b68c4fa298aa48e2f3b,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1754444581,pending,trust_competent_1|trust_intelligent_1|trust_qualified_1|trust_honest_1|trust_ethical_1|trust_sincere_1|trust_concerned_1|trust_improve_1|trust_considerate_1|trust_feedback_1|trust_transparent_1|trust_attention_1,"{""trust_attention_1"": ""trust_openness_3"", ""trust_competent_1"": ""trust_competence_1"", ""trust_concerned_1"": ""trust_benevolence_1"", ""trust_considerate_1"": ""trust_benevolence_3"", ""trust_ethical_1"": ""trust_integrity_2"", ""trust_feedback_1"": ""trust_openness_1"", ""trust_honest_1"": ""trust_integrity_1"", ""trust_improve_1"": ""trust_benevolence_2"", ""trust_intelligent_1"": ""trust_competence_2"", ""trust_qualified_1"": ""trust_competence_3"", ""trust_sincere_1"": ""trust_integrity_3"", ""trust_transparent_1"": ""trust_openness_2""}",standard,,,,,
F|target|F0126|control|trust_post|replicate_1,F-c77e9125286a2fd9c51b1e94baed6d52e202d778,F,target,F0126,control,trust_post,1,google/gemma-4-31B-it,92448b961f6fb25595f026d5698c150365128f80f981ef15a0ffa61860ff3db3,d29ad2f126ee4a74415d3a7edcaf4da97941d2fe638985dbab28b1503afadf7a,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,929518118,pending,trust_post_1,"{""trust_post_1"": ""trust_post""}",standard,,,,,
F|target|F0126|control|distrust_post|replicate_1,F-3a7f7cb65754e27c8140795ecc75a8edfa25e7d0,F,target,F0126,control,distrust_post,1,google/gemma-4-31B-it,2148ea8cef9f9cfd819070675d89fdbdd19c14ef6cde8d1419262b7673701b64,fed4737c522eac550e0c1d3cad20c787f669755276abfa7f2cb390db55e86cd0,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1280564201,pending,distrust_1,"{""distrust_1"": ""distrust_post""}",standard,,,,,
F|target|F0126|control|funding_perceptions|replicate_1,F-1e2ca2528039ae49b5450d6113a04a696acfcbf9,F,target,F0126,control,funding_perceptions,1,google/gemma-4-31B-it,4a335e68899c55be835445d33f9e1c566bc81b646dda00dae36e07cc16fd6f1c,1f37ad536e93c08f963fad072adf906c67c6305224c16e7c630a59ae50979206,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1016263406,pending,funding_5,"{""funding_5"": ""funding_5_raw""}",standard,,,,,
F|target|F0126|control|policy_role_mean|replicate_1,F-0f8817841fa67c21903c7a736d4a322b13375af0,F,target,F0126,control,policy_role_mean,1,google/gemma-4-31B-it,dbb8caea45bf3ad5a952632c9ad083bb0b0712396ae49fc7897a17e06806baf1,ee5d910e61480dd9adb6ad1a454f9428b003ccf500c5135ea7a93d21fa8cd41e,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1052158761,pending,policy_1_1|policy_2_1|policy_3_1|policy_4_1,"{""policy_1_1"": ""policy_role_1"", ""policy_2_1"": ""policy_role_2"", ""policy_3_1"": ""policy_role_3"", ""policy_4_1"": ""policy_role_4""}",standard,,,,,
F|target|F0126|control|inst_trust_mean|replicate_1,F-4a2de9f5af00b41532ea66492bb94c84e3b55a58,F,target,F0126,control,inst_trust_mean,1,google/gemma-4-31B-it,77650d683ae8ae98de7d1be7a38e2403bf9d8479c5854250294e62218e4b1a47,897ce0364d6f8945fcb85096754df92684e7b0cc5eca20b40646be6b861e7b4d,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1130137601,pending,inst_trust_epa_1|inst_trust_nasa_1|inst_trust_noaa_1|inst_trust_uni_1|inst_trust_gov_1,"{""inst_trust_epa_1"": ""inst_trust_epa"", ""inst_trust_gov_1"": ""inst_trust_federal_gov"", ""inst_trust_nasa_1"": ""inst_trust_nasa"", ""inst_trust_noaa_1"": ""inst_trust_noaa"", ""inst_trust_uni_1"": ""inst_trust_universities""}",standard,,,,,
F|target|F0126|control|belief_post|replicate_1,F-31b42f7813df7bf6c00416289aeec0c411183b1e,F,target,F0126,control,belief_post,1,google/gemma-4-31B-it,e121e2d785465747ecb153f9edd108939c9eea7a9417d2071ba4b3778c4eafa7,c6cd4ea417b0f21de505645457e277e422387fb38f012e29fca3d65957bc4a0f,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,2001197798,pending,belief_post_1,"{""belief_post_1"": ""belief_post""}",standard,,,,,
F|target|F0126|control|concern_mean|replicate_1,F-4404724a12b6d3b7a1086715c0642443688b7e6e,F,target,F0126,control,concern_mean,1,google/gemma-4-31B-it,cd623aacaae5062e1385678d17edc62bfcdc64cb60e607bb18787b32190abd26,3624e5ec5268b8d8172c1bececa0f7d1ae67f15beef0f2964e9ed2f96d593562,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,448772172,pending,concern_1_1|concern_2_1|concern_3_1,"{""concern_1_1"": ""concern_1"", ""concern_2_1"": ""concern_2"", ""concern_3_1"": ""concern_3""}",standard,,,,,
F|target|F0126|control|policy_general|replicate_1,F-73a1826212de3c95ad54f013d2c3d5be1834d402,F,target,F0126,control,policy_general,1,google/gemma-4-31B-it,f046a623c0448543072c8599f424136c859aa887d0a7296b8c0e17f187d2cd0c,5a04deea2379c0c7af577994445fc5f4b73df7fa6165618d5db5a2eb92fdfeb4,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,2048999770,pending,policy_general_1,"{""policy_general_1"": ""policy_general""}",standard,,,,,
F|target|F0126|control|policy_specific_mean|replicate_1,F-05f527d9d84430fc74e7ef0a7f55a3eaf1738aab,F,target,F0126,control,policy_specific_mean,1,google/gemma-4-31B-it,69f40e7f0462468d2005088b74800eeb67362f5745edbeb749636949b4c09cf2,a13d0689e6aca8f3691efbaa2964542b5c56fc1d50110b207ba32c65bf6a5bd3,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1680769199,pending,policy_specific_1_1|policy_specific_2_1|policy_specific_3_1|policy_specific_4_1|policy_specific_5_1|policy_specific_6_1|policy_specific_7_1,"{""policy_specific_1_1"": ""policy_specific_1"", ""policy_specific_2_1"": ""policy_specific_2"", ""policy_specific_3_1"": ""policy_specific_3"", ""policy_specific_4_1"": ""policy_specific_4"", ""policy_specific_5_1"": ""policy_specific_5"", ""policy_specific_6_1"": ""policy_specific_6"", ""policy_specific_7_1"": ""policy_specific_7""}",standard,,,,,
