request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
F|target|F0101|control|trust_multidimensional|replicate_1,F-daec16770b820a99ecbad90bd5c0ea8fd6f95cd4,F,target,F0101,control,trust_multidimensional,1,google/gemma-4-31B-it,4c91cd4d3db8d4184f1f905474609b2952e5febf278ced63941f42d96fa943eb,b8d0cc51184a7feca94964de9c8ff25a56d9b6c542047b68c4fa298aa48e2f3b,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1096431498,pending,trust_competent_1|trust_intelligent_1|trust_qualified_1|trust_honest_1|trust_ethical_1|trust_sincere_1|trust_concerned_1|trust_improve_1|trust_considerate_1|trust_feedback_1|trust_transparent_1|trust_attention_1,"{""trust_attention_1"": ""trust_openness_3"", ""trust_competent_1"": ""trust_competence_1"", ""trust_concerned_1"": ""trust_benevolence_1"", ""trust_considerate_1"": ""trust_benevolence_3"", ""trust_ethical_1"": ""trust_integrity_2"", ""trust_feedback_1"": ""trust_openness_1"", ""trust_honest_1"": ""trust_integrity_1"", ""trust_improve_1"": ""trust_benevolence_2"", ""trust_intelligent_1"": ""trust_competence_2"", ""trust_qualified_1"": ""trust_competence_3"", ""trust_sincere_1"": ""trust_integrity_3"", ""trust_transparent_1"": ""trust_openness_2""}",standard,,,,,
F|target|F0101|control|trust_post|replicate_1,F-5a38060128d3dfa95179934e2471d7f509f2d5d7,F,target,F0101,control,trust_post,1,google/gemma-4-31B-it,82d48543c335b325ca7e8a50b82c12fa449d0a709d0d2772d3e549352e9a259e,d29ad2f126ee4a74415d3a7edcaf4da97941d2fe638985dbab28b1503afadf7a,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1564732332,pending,trust_post_1,"{""trust_post_1"": ""trust_post""}",standard,,,,,
F|target|F0101|control|distrust_post|replicate_1,F-153b90ab92a6b79cd1e25e54037f95179b569379,F,target,F0101,control,distrust_post,1,google/gemma-4-31B-it,80d745d5ac469c521a1f1bbd40459b5067f9f346421cf2f82824f5066cfeacb6,fed4737c522eac550e0c1d3cad20c787f669755276abfa7f2cb390db55e86cd0,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1025366259,pending,distrust_1,"{""distrust_1"": ""distrust_post""}",standard,,,,,
F|target|F0101|control|funding_perceptions|replicate_1,F-0bc05302d1b571981a041d64a045ac69e79dd8cd,F,target,F0101,control,funding_perceptions,1,google/gemma-4-31B-it,dfe83d30523fddaba50f1eddf473298ec1722ff71289a45becdcbd7cb932a1c7,1f37ad536e93c08f963fad072adf906c67c6305224c16e7c630a59ae50979206,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1765152669,pending,funding_5,"{""funding_5"": ""funding_5_raw""}",standard,,,,,
F|target|F0101|control|policy_role_mean|replicate_1,F-f826d5ea4be4a3484494889620494eaeb907ff5b,F,target,F0101,control,policy_role_mean,1,google/gemma-4-31B-it,4ebc0d92b816f0c9207ffc33375c88e3a041538dc8f4bd61d9713845b23556d4,ee5d910e61480dd9adb6ad1a454f9428b003ccf500c5135ea7a93d21fa8cd41e,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1009930016,pending,policy_1_1|policy_2_1|policy_3_1|policy_4_1,"{""policy_1_1"": ""policy_role_1"", ""policy_2_1"": ""policy_role_2"", ""policy_3_1"": ""policy_role_3"", ""policy_4_1"": ""policy_role_4""}",standard,,,,,
F|target|F0101|control|inst_trust_mean|replicate_1,F-c64476d9e9174befa945686c2cb9669409f95cc7,F,target,F0101,control,inst_trust_mean,1,google/gemma-4-31B-it,32a3a24d32fb8c1637abddd2e8260074ec4b370ff2587242ab7966069e8252df,897ce0364d6f8945fcb85096754df92684e7b0cc5eca20b40646be6b861e7b4d,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1973434789,pending,inst_trust_epa_1|inst_trust_nasa_1|inst_trust_noaa_1|inst_trust_uni_1|inst_trust_gov_1,"{""inst_trust_epa_1"": ""inst_trust_epa"", ""inst_trust_gov_1"": ""inst_trust_federal_gov"", ""inst_trust_nasa_1"": ""inst_trust_nasa"", ""inst_trust_noaa_1"": ""inst_trust_noaa"", ""inst_trust_uni_1"": ""inst_trust_universities""}",standard,,,,,
F|target|F0101|control|belief_post|replicate_1,F-f4740cf3e58b0c6a550e4524823e40e90a85195a,F,target,F0101,control,belief_post,1,google/gemma-4-31B-it,dc9fd9ca6c87cd70c8de4edd7ab148d37af5b686e14d50c108973dc9470b516f,c6cd4ea417b0f21de505645457e277e422387fb38f012e29fca3d65957bc4a0f,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,1316169301,pending,belief_post_1,"{""belief_post_1"": ""belief_post""}",standard,,,,,
F|target|F0101|control|concern_mean|replicate_1,F-b0d44ce856f6afb91effff22c814b94f41bf1a27,F,target,F0101,control,concern_mean,1,google/gemma-4-31B-it,2267617619f76390519107ea98c0fc39361ac52a0ccc941084316ec5b127e9eb,3624e5ec5268b8d8172c1bececa0f7d1ae67f15beef0f2964e9ed2f96d593562,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,949963148,pending,concern_1_1|concern_2_1|concern_3_1,"{""concern_1_1"": ""concern_1"", ""concern_2_1"": ""concern_2"", ""concern_3_1"": ""concern_3""}",standard,,,,,
F|target|F0101|control|policy_general|replicate_1,F-5db940b762bd05a9ebabea516562c2de9ec86c3d,F,target,F0101,control,policy_general,1,google/gemma-4-31B-it,bb1f48f98aefb6d4faf47acf620c2d76bde902430ad3df3ee9d1147c19042fa4,5a04deea2379c0c7af577994445fc5f4b73df7fa6165618d5db5a2eb92fdfeb4,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,506431257,pending,policy_general_1,"{""policy_general_1"": ""policy_general""}",standard,,,,,
F|target|F0101|control|policy_specific_mean|replicate_1,F-fd39919633d158b98aa4846d87e7829e595c45a8,F,target,F0101,control,policy_specific_mean,1,google/gemma-4-31B-it,69bccb524e9a3dced80fba9fddccdab1b6f72de79975268e80f89fd023f43901,a13d0689e6aca8f3691efbaa2964542b5c56fc1d50110b207ba32c65bf6a5bd3,ashokkumar_experiment_forecast_adapted_v1,prompt_compiler_v2_split_g_f,776240105,pending,policy_specific_1_1|policy_specific_2_1|policy_specific_3_1|policy_specific_4_1|policy_specific_5_1|policy_specific_6_1|policy_specific_7_1,"{""policy_specific_1_1"": ""policy_specific_1"", ""policy_specific_2_1"": ""policy_specific_2"", ""policy_specific_3_1"": ""policy_specific_3"", ""policy_specific_4_1"": ""policy_specific_4"", ""policy_specific_5_1"": ""policy_specific_5"", ""policy_specific_6_1"": ""policy_specific_6"", ""policy_specific_7_1"": ""policy_specific_7""}",standard,,,,,
