request_key,custom_id,role,study_id,profile_id,condition_id,outcome_id,replicate_id,requested_model,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,seed,status,required_fields,response_key_map,request_stage,consensus_interaction_protocol_id,consensus_stage_a_request_key,consensus_stage_a_prompt_hash,consensus_stage_a_schema_hash,consensus_feedback_hash
F|target|F0001|Consensus|stage_a|replicate_1,F-0962a3ff0688f8acd80e34498c54d66af80b4ee5,F,target,F0001,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,6eb52d67ebb130b104b942295175f71284c0835ab828a700f063d4aa547d5fbf,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,424558762,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0001|Consensus|stage_a|replicate_1,6eb52d67ebb130b104b942295175f71284c0835ab828a700f063d4aa547d5fbf,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0002|Consensus|stage_a|replicate_1,F-4f5d64706e4cb542b932b58e65c33de1c56eef38,F,target,F0002,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,a224a6d8c7ae6f35553920331852a5c9a27fd280b422d5dccbafacc70ba9258b,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,218594852,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0002|Consensus|stage_a|replicate_1,a224a6d8c7ae6f35553920331852a5c9a27fd280b422d5dccbafacc70ba9258b,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0003|Consensus|stage_a|replicate_1,F-e7a41f2f870631da29be58b1e015b360de4220b4,F,target,F0003,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,77698bad309526ded59973d556239e6b7792782c0c984f13ae73ce1b60958a60,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1447981116,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0003|Consensus|stage_a|replicate_1,77698bad309526ded59973d556239e6b7792782c0c984f13ae73ce1b60958a60,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0004|Consensus|stage_a|replicate_1,F-285adac39326c783922d53e681e4c9f99bbf2feb,F,target,F0004,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,3795f1735ed0c3fd8b9caf3d6fad5feeceb0ce6af11dbbcbe10c1c29746fa041,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1675394314,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0004|Consensus|stage_a|replicate_1,3795f1735ed0c3fd8b9caf3d6fad5feeceb0ce6af11dbbcbe10c1c29746fa041,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0005|Consensus|stage_a|replicate_1,F-0259c9deb3e4c3cce8a25da58131e117eeddfd81,F,target,F0005,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,cb3447600c7640a43252aa35d6b4f9f5a90f76ca31e4beca4838442da747c219,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,949507977,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_human_primary_cause"", ""Q003"": ""consensus_estimate_co2_warms_planet""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0005|Consensus|stage_a|replicate_1,cb3447600c7640a43252aa35d6b4f9f5a90f76ca31e4beca4838442da747c219,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0006|Consensus|stage_a|replicate_1,F-fbdc48cf3c22a43c3cc3187a47d1cfd22e0f8153,F,target,F0006,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,1129cfc170b0c21c760e791540c9d922dadab070441a18dc8a07b75032823a87,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,870004190,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0006|Consensus|stage_a|replicate_1,1129cfc170b0c21c760e791540c9d922dadab070441a18dc8a07b75032823a87,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0007|Consensus|stage_a|replicate_1,F-d0c9605326737b0bb10cb26b0b35f14b9aaea9b7,F,target,F0007,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,e94fd0c37ff776bc4f787d9ac89189ebafa3a7137f88def975d118b87da8a47c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1208368052,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_human_primary_cause"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0007|Consensus|stage_a|replicate_1,e94fd0c37ff776bc4f787d9ac89189ebafa3a7137f88def975d118b87da8a47c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0008|Consensus|stage_a|replicate_1,F-97bfd9ec54a6c6836fb4108f4b1342f379cbceb2,F,target,F0008,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,cb24a0739b4046625159fce441019cd92505bdbd237407bcd302598850a92c3c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,69630558,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_net_zero_before_2085"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0008|Consensus|stage_a|replicate_1,cb24a0739b4046625159fce441019cd92505bdbd237407bcd302598850a92c3c,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0009|Consensus|stage_a|replicate_1,F-42cba6df957bf1e8e70028f5d29c8f017463106a,F,target,F0009,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,13c4c53754df402685e670b465eee55e75dd9173e8f8d32ae1b9d198260a161e,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,454246312,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_net_zero_before_2085"", ""Q002"": ""consensus_estimate_co2_warms_planet"", ""Q003"": ""consensus_estimate_human_primary_cause""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0009|Consensus|stage_a|replicate_1,13c4c53754df402685e670b465eee55e75dd9173e8f8d32ae1b9d198260a161e,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
F|target|F0010|Consensus|stage_a|replicate_1,F-288724716c2f90d069e00e9b59f59d0774b55acc,F,target,F0010,Consensus,consensus_stage_a_estimates,1,google/gemma-4-31B-it,a162820dc07b7fadd4e987da7cd87860e3df44dbb6a4ab7f4d074f79f5861759,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,consensus_two_stage_interactive_adaptation_v1,prompt_compiler_v2_split_g_f,1027463603,pending,Q001|Q002|Q003,"{""Q001"": ""consensus_estimate_co2_warms_planet"", ""Q002"": ""consensus_estimate_human_primary_cause"", ""Q003"": ""consensus_estimate_net_zero_before_2085""}",consensus_stage_a,consensus_two_stage_interactive_adaptation_v1,F|target|F0010|Consensus|stage_a|replicate_1,a162820dc07b7fadd4e987da7cd87860e3df44dbb6a4ab7f4d074f79f5861759,675efa1486e53a4914248132dda701b834c9e26599d8c4c4d7b41db57bfcf2b0,
