donor_key,request_key,custom_id,assigned_variant,assigned_filler,condition_id,outcome_id,requested_model,seed,prompt_hash,schema_version,prompt_protocol_id,prompt_compiler_version,engine_config_hash,response_format_instruction_version,study_id,request_stage,phase,intended_logical_identity,replacement_replicate_id
LP0002,G|LP0002|control|replicate_2|fmt_v2,G-0eabf758282c05ef49cc84da6eb1bb8b20d080bb,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1166275743,dc1b0f4100972e86c5216e54b0714d461c66ad91730545f49dde9d9d1025ece8,905bfa891691989f56a0b2f5b889f2109e5d381776f24e9293dc76a949c1c4f5,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0002|control,2
LP0003,G|LP0003|control|replicate_2|fmt_v2,G-d2b05770c83dd324270ba0cd9d6fe1ff01d6de55,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,1839104520,33e6b67bf415ef1a8c43d64647bdfd5c26d3be0185caf7c53f6b6a6be475ec5b,11493604706794d63835530fa42668773c9769ba6a103753272c0e0a8193a9c0,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0003|control,2
LP0004,G|LP0004|control|replicate_2|fmt_v2,G-dafa0a12197a645d0c2d71f6244bf9040972234c,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1332639876,b1598f64d9d5fd1aab6bef1f2438620cf985476a1ca068a06b9bb89258361983,946056600450ab8cdd39a4bc8983792aef7b46b0b22a2395d1bf558a96e4097f,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0004|control,2
LP0005,G|LP0005|control|replicate_2|fmt_v2,G-a5e2c962e52c229188ff097e43af7fa4567b6d34,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,821146969,3f3682281bd40a006308f061ac721f824482a57fb8fb1b05a7e17aa7e9f6d336,a688b9ec952f1287c03f1451368ae57ac298be14e4f128e7dbfbc419291ecfa2,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0005|control,2
LP0007,G|LP0007|control|replicate_2|fmt_v2,G-299f76c437d32539586d5e8cd0286c8c65176a74,3,dances,control,full_questionnaire,google/gemma-4-31B-it,185733826,725b1e7f7ae475ca44069ebe58a74ddb42a149fbd91379196913821d389832c2,bc2ab2add0d7e6350b4283df4a1c81de8a939fc5fab9cdf0fe770e4fe0b02c9e,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0007|control,2
LP0008,G|LP0008|control|replicate_2|fmt_v2,G-28e0aa4ca3bb1a2d23fb2543f1952a30b7627886,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,1971089094,5cfd70c25696e807eb30ef3bff9f0d7ec2eca3d7b7210d4103a125fd9acea039,a688b9ec952f1287c03f1451368ae57ac298be14e4f128e7dbfbc419291ecfa2,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0008|control,2
LP0009,G|LP0009|control|replicate_2|fmt_v2,G-3116aed27f72faad8894e079090bf771816be266,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1637898322,168d24292e6f8420e848ecf2a1592883af258ce0e40b5bbcabb33cee7beee1c3,65861bb80d12fa50b6b8ac6da95c62ea8b9b211990f72cbf6a380dc704b3c4f1,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0009|control,2
LP0011,G|LP0011|control|replicate_2|fmt_v2,G-169d1d85c853fdca638e8ddee690c7cb332572c4,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,1972254933,3a9d470dce924fc6c9eabd4f9185c3cfc197c31c55463070125af16bd02a015b,9965dbbd78907789b090a31a64821edc5afb4e49243f6dc0e4ad9272a342ff5d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0011|control,2
LP0012,G|LP0012|control|replicate_2|fmt_v2,G-07e587e971a2315740892f9e14688f3cab261d60,3,dances,control,full_questionnaire,google/gemma-4-31B-it,23937322,1f90fbf6ba522557d11e90a5a0a349267c29eaf355e0314b798461b4d8ee3850,a9a17d71ff912bda5de0b51aa01d4899976866e2b7576a3599597ddb74247476,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0012|control,2
LP0014,G|LP0014|control|replicate_2|fmt_v2,G-6d6a3c27eb9c048148e58dbe43c366944b661a29,3,dances,control,full_questionnaire,google/gemma-4-31B-it,1181777106,beb04e38a1a2d7ae9af27691a2d84a8951fbb1098123d9370c07752344be0300,7eadf06f060f845c1408260c94fa34a7dbc7f7928d4382e4aec9e9bb5762f4c8,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0014|control,2
LP0015,G|LP0015|control|replicate_2|fmt_v2,G-cb802a951ea39dd307291ff2c28cbb624e7e1dcb,3,dances,control,full_questionnaire,google/gemma-4-31B-it,899937024,2d241a95e4602c013e11e058502ede3e9611cfae055adf9b5227e4ab09fcaafe,9cf4810f79623ab280b4671157c7c2723292729c3010d9834ac809d59889b0d7,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0015|control,2
LP0016,G|LP0016|control|replicate_2|fmt_v2,G-9a37e927585a16e86f6f25f3d601d63c6711adc0,3,dances,control,full_questionnaire,google/gemma-4-31B-it,214559033,d1125be890a38ccbb7b2b549890603a129ae4f8e569f5b86ba390cd8592a52a1,1e41c27a019e4e9312440ca295da27f2e1b6fe91483bc3a93110d993824f2569,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0016|control,2
LP0017,G|LP0017|control|replicate_2|fmt_v2,G-02f00f79dce9c97dc06883ac2756840b387f988e,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,1657399408,5ba045aa7e5f0171a8e21fb4e549fb2dbfd3ce76646b309855ed612d93b01fd7,f6e79632b071296a8163c418ba80cacd2272850a3d280064326088189590fa0d,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0017|control,2
LP0019,G|LP0019|control|replicate_2|fmt_v2,G-50b7f07f10e257172d3257f9db9ec2da63a3749f,3,dances,control,full_questionnaire,google/gemma-4-31B-it,844249110,19fad08fb1de5f25b37098df9785f9cc479e7d9a3dacef1a894ab0434e0de53d,c1a00b8991d83388f8675b3b6ccfd8954874fb030e040187297e6ac10f469390,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0019|control,2
LP0020,G|LP0020|control|replicate_2|fmt_v2,G-5e661c861a83fc3f4efe79cf59a8abc27cf9f724,2,baseball,control,full_questionnaire,google/gemma-4-31B-it,1464874316,2d069d8da857bf586e600b52f0d13266ba6f75cf8bfae6ad8a852838590fb3bd,5d30f16e2951aefaf7b1c06bab9f4dd3c4057df2aeefd34598c692d72f306507,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0020|control,2
LP0021,G|LP0021|control|replicate_2|fmt_v2,G-1b44a8d6039ba6b6a2b7b515943fe37f58ae9d3b,3,dances,control,full_questionnaire,google/gemma-4-31B-it,975501410,a2a19bb7e176e0580b1f4ddce2a6e4ad095229c940f9b942a1f28e296cad2512,5f7d07b470b54a5cafb17164344fd857d32476ff684398def613e82b6b9c0584,krsteski_demo_survey_adapted_v1,prompt_compiler_v2_split_g_f,c444a6eac0c7b6cd317bc71d70e09e8e9d8b0a57308ceb8b4c11921129cc5ae1,v2,target,standard,standard_g_control_repair_v2,G|LP0021|control,2
